,LOC,LATITUDE,LONGITUDE,Date_of_Day_0,VFR_Day_0,VFR_Day_1,VFR_Day_2,VFR_Day_3,VFR_Day_4,VFR_Day_5,VFR_Day_6,VFR_Day_7
0,ABE,40.652363888888885,-75.44040555555556,2022-05-09,71.93499220554085,65.47662959995135,74.90472646956474,80.47350572863225,73.3971547081882,15.603237856643595,16.210414520148017,22.64113299709105
1,ABI,32.41133333333333,-99.68188888888889,2022-05-09,25.538555035099975,19.732752839209923,26.397232677789937,36.134543945734166,24.456249368134465,27.82861263273092,39.504315900345176,37.32223982494592
2,ABQ,35.03893055555555,-106.6082611111111,2022-05-09,144.0942403440302,149.03427774194654,105.11670998489687,133.66870672134655,178.34164614916722,172.3545004905654,110.74606129492157,165.69602100806395
3,ABY,31.53552777777778,-84.19447222222223,2022-05-09,10.525201707724873,11.327676886151913,10.785035683768003,9.528536067842687,5.9947670565309075,12.686502416658815,11.289494189266208,12.899208466945185
4,ACK,41.252975,-70.0599111111111,2022-05-09,27.443428993217868,12.220004609874067,30.835865999394343,38.049901524973166,33.299634543394326,28.342706572988334,14.613479692426235,20.147987905274746
5,ACT,31.612194444444444,-97.23030555555556,2022-05-09,22.960705747627614,50.593395404119995,59.2415804067713,70.3611429292568,68.12301870715156,36.41394859255537,93.14834823668505,68.82769222030642
6,ACY,39.45758333333334,-74.57716666666666,2022-05-09,43.28439563459299,34.43818086363318,35.231122496931384,39.09989796383589,40.98653683553359,14.707097403955627,23.05970883899756,37.21301143364218
7,ADS,32.96855555555556,-96.83644444444444,2022-05-09,42.94700607340463,141.12578541865628,212.5631799226189,231.89864658661577,299.0519352732745,84.76840765717213,305.253991195948,253.73064410552198
8,AEX,31.327372222222223,-92.54855555555555,2022-05-09,0.006532424352664076,0.008779812933360625,0.015002528380804209,0.02087969650335575,0.11881761584751356,0.16161217622960755,0.2627264350753951,0.008593087400319393
9,AFW,32.990386111111114,-97.31944166666666,2022-05-09,23.610682503350706,71.00120651201794,95.3687717499777,95.99383325910792,103.97050376878745,43.09123330894771,117.23425248691278,129.85733306136405
10,AGC,40.35443888888889,-79.92904722222222,2022-05-09,125.07181648411613,117.30822726658813,122.91534761736698,132.50211835382396,114.88150239691916,69.2802420148023,40.0038460343787,53.191370535987936
11,AGS,33.36994444444444,-81.9645,2022-05-09,18.469920576987324,20.767111496728226,17.321578953074095,14.359049553940615,4.526118934229994,6.789694831290928,15.152956902408052,18.80418255195771
12,AHN,33.94864166666666,-83.32591388888889,2022-05-09,50.87420588094949,70.75972660091718,63.987640258394784,46.46923911907995,15.264938851176792,19.900721909785286,55.800221730665506,56.84996411411166
13,AKN,58.676494444444444,-156.64869166666665,2022-05-09,41.4359151054516,50.13096839701326,54.73218093689097,65.03932407654266,65.51795072869665,61.43625140137558,65.98068702573488,88.49399123641764
14,ALB,42.749116666666666,-73.80198055555556,2022-05-09,66.62579198720064,62.640892361760265,73.73417263214422,72.86193768228291,69.03474623834103,42.75165540424655,13.140023097729244,12.307511116276842
15,ALN,38.889916666666664,-90.04599999999999,2022-05-09,16.859234270165757,18.917178918225588,24.94631585695924,19.891742034512177,20.497287541641672,18.67830955232193,14.38798629689089,24.085209856778647
16,ALW,46.09254166666667,-118.28408333333333,2022-05-09,31.610806906566037,34.63057129425259,36.557466413352074,18.238633613587776,36.608792668704446,39.719183841551654,26.536186459883655,31.461162020572026
17,AMA,35.21936111111111,-101.70591666666667,2022-05-09,18.631853125634308,11.154079554551014,11.281075440248834,17.091655819944275,18.22053814235336,27.30972704264422,26.46608012771424,13.83203460000992
