"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW"
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-05-23","0.26",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-08-08","0.23",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-09-24","0.53",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-11-20","2.24",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-11-21","0.95",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-11-22","0.08",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-11-28","0.18",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-11-29","1.45",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-05","0.84",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-09","0.17",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-24","0.10",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-25","0.18",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-26","0.07",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2019-12-27","0.13",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-02-23","0.85",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-02","0.14",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-10","0.13",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-11","0.50",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-13","1.39",
