"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TAVG","TMIN"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-01","10.74","0.00",,"40"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-02","10.96","0.31",,"40"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-03","15.21","0.70",,"44"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-04","11.41","0.19",,"47"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-05","9.17","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-06","6.26","0.03",,"28"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-07","10.96","0.94",,"38"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-08","19.69","2.20",,"58"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-09","13.20","0.28",,"50"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-10","20.13","2.04",,"52"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-11","11.63","0.02",,"45"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-12","4.70","0.20",,"37"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-13","6.49","0.00",,"35"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-14","3.36","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-15","4.03","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-16","2.91","0.00",,"35"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-17","4.25","0.00",,"31"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-18","18.79","0.67",,"42"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-19","11.63","0.11",,"46"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-20","19.01","0.69",,"46"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-21","15.43","0.28",,"45"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-22","17.00","0.71",,"44"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-23","8.95","0.01",,"41"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-24","6.93","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-25","4.03","0.00",,"32"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-26","8.95","0.00",,"37"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-27","4.92","0.00",,"37"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-28","3.80","0.00",,"33"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-29","2.68","0.00",,"32"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-30","1.57","0.00",,"31"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-01-31","2.68","0.00",,"33"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-01","4.25","0.00",,"39"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-02","8.95","0.30",,"45"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-03","16.11","1.20",,"54"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-04","8.95","0.00",,"49"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-05","10.51","0.40",,"47"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-06","17.67","0.54",,"53"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-07","17.45","0.49",,"53"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-08","10.07","0.25",,"56"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-09","11.86","0.38",,"56"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-10","8.28","0.02",,"51"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-11","13.42","0.00",,"46"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-12","6.49","0.00",,"40"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-13","3.80","0.00",,"40"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-14","3.36","0.00",,"41"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-15","4.92","0.00",,"44"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-16","10.96","0.21",,"51"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-17","15.43","1.04",,"52"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-18","9.62","0.05",,"48"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-19","14.76","0.20",,"47"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-20","18.12","1.32",,"52"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-21","11.86","0.10",,"47"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-22","6.71","0.00",,"38"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-23","4.25","0.00",,"32"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-24","4.70","0.00",,"31"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-25","6.71","0.00",,"37"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-26","9.84","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-27","4.25","0.00",,"36"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-02-28","4.92","0.00",,"33"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-03-01","3.80","0.00",,"35"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-03-02","2.91","0.00",,"34"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.70069","-121.59479","7.5","2017-03-03","4.03","0.00",,"37"
