OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SPI,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,2,13,9,0,24,0,0,0,0,0,0,0,27,0,27,0,2,11,4,17,11,2,13,64,81
01/02/2017,2,10,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
01/03/2017,2,9,4,2,17,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,0,1,1,19,22
01/04/2017,3,8,22,12,45,0,0,2,0,2,0,3,21,0,24,0,16,5,4,25,36,30,66,135,162
01/05/2017,2,11,10,2,25,0,0,0,0,0,0,0,8,0,8,0,2,5,5,12,0,1,1,34,46
01/06/2017,0,17,15,16,48,0,0,1,0,1,0,7,11,1,19,0,2,7,1,10,0,16,16,83,94
01/07/2017,2,6,1,12,21,0,0,0,3,3,0,3,13,10,26,0,7,3,5,15,6,32,38,85,103
01/08/2017,2,13,12,0,27,1,2,1,0,4,0,1,13,1,15,0,6,2,12,20,0,2,2,44,68
01/09/2017,0,11,12,4,27,0,0,1,0,1,0,3,11,9,23,0,9,5,3,17,2,12,14,64,82
01/10/2017,0,7,9,6,22,0,1,2,0,3,0,0,0,0,0,0,3,0,2,5,0,1,1,23,31
01/11/2017,2,13,15,2,32,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,2,1,3,36,38
01/12/2017,2,12,20,2,36,0,0,1,0,1,0,0,2,0,2,0,3,1,4,8,10,3,13,51,60
01/13/2017,0,9,11,1,21,0,1,1,0,2,0,0,8,4,12,0,0,3,10,13,0,0,0,33,48
01/14/2017,2,5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/15/2017,0,12,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,13,15
01/16/2017,2,11,8,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,4,25,29
01/17/2017,1,13,14,4,32,0,0,0,0,0,0,0,1,0,1,0,3,0,1,4,0,0,0,33,37
01/18/2017,6,11,25,17,59,0,1,0,0,1,0,0,17,2,19,0,1,1,1,3,0,36,36,114,118
01/19/2017,2,9,7,2,20,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,22,23
01/20/2017,2,14,14,2,32,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,1,33,36
01/21/2017,3,6,9,0,18,1,1,2,0,4,0,0,32,2,34,0,6,7,0,13,52,3,55,107,124
