,day_index,DATE_unix_UTC,SUNRISE,SUNSET,TMAX,TMIN,AWND,FORECAST,PROB_PREC,PRCP,SNOW,Date,Month,Day,Week_Day,PRCP_SQRT,SNOW_SQRT,isAHOLIDAY,IFR,Intercept,LOC,LATITUDE,LONGITUDE,Intercept_coeff,IFR_coeff,AWND_coeff,PRCP_coeff,PRCP_SQRT_coeff,SNOW_coeff,SNOW_SQRT_coeff,TMIN_coeff,TMAX_coeff,isAHOLIDAY_coeff,Month_coeff,Day_coeff,Week_Day_coeff,Intercept_coeff_se,IFR_coeff_se,AWND_coeff_se,PRCP_coeff_se,PRCP_SQRT_coeff_se,SNOW_coeff_se,SNOW_SQRT_coeff_se,TMIN_coeff_se,TMAX_coeff_se,isAHOLIDAY_coeff_se,Month_coeff_se,Day_coeff_se,Week_Day_coeff_se,Intercept_p,IFR_p,AWND_p,PRCP_p,PRCP_SQRT_p,SNOW_p,SNOW_SQRT_p,TMIN_p,TMAX_p,isAHOLIDAY_p,Month_p,Day_p,Week_Day_p,test_root_MSE,R2,PSEUDO R-SQU,LOG-LIKELIHOOD,LL-NULL,LLR p-value,CONF_lower,CONF_upper,y_forecast
0,0,1649264400,2022-04-06 06:34:33,2022-04-06 19:26:22,52.77,46.8,15.64,Rain,1.0,1.5381889763779528,0.0,2022-04-06,4,6,2,1.2402374677367043,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.949425382064558
1,1,1649350800,2022-04-07 06:33:00,2022-04-07 19:27:21,54.86,46.72,16.06,Rain,1.0,0.26338582677165356,0.0,2022-04-07,4,7,3,0.5132112886245328,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.489910361337094
2,2,1649433600,2022-04-08 06:31:27,2022-04-08 19:28:20,58.3,43.99,13.06,Clouds,0.8,0.0,0.0,2022-04-08,4,8,4,0.0,0.0,1,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.675988540519185
3,3,1649520000,2022-04-09 06:29:54,2022-04-09 19:29:19,54.27,42.69,15.59,Rain,0.2,0.00826771653543307,0.0,2022-04-09,4,9,5,0.09092698463840683,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.77314031529375
4,4,1649606400,2022-04-10 06:28:23,2022-04-10 19:30:18,50.94,39.54,16.44,Rain,0.2,0.004330708661417323,0.0,2022-04-10,4,10,6,0.06580812002646272,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.505038241054848
5,5,1649692800,2022-04-11 06:26:51,2022-04-11 19:31:17,58.8,38.3,9.51,Clouds,0.0,0.0,0.0,2022-04-11,4,11,0,0.0,0.0,1,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.960641706722605
6,6,1649779200,2022-04-12 06:25:21,2022-04-12 19:32:16,72.37,48.38,13.18,Clouds,0.0,0.0,0.0,2022-04-12,4,12,1,0.0,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.491205545701185
7,7,1649865600,2022-04-13 06:23:51,2022-04-13 19:33:16,70.93,56.75,9.69,Clouds,0.0,0.0,0.0,2022-04-13,4,13,2,0.0,0.0,0,69.29353778751369,1,ACY,39.45203,-74.56701,2.2780563414356108,0.010268390527400672,-0.009786604668664467,0.44309744867803685,-1.3420162840231522,NaN,-0.19680622067261724,-0.03259545720859293,0.03915601555723054,NaN,NaN,NaN,-0.04847821467042451,0.10162995746502787,0.0006132022861635243,0.004057416171592047,0.08766748026888069,0.10597020615879213,NaN,0.07991727773697282,0.0026273058781049376,0.00263420089156015,NaN,NaN,NaN,0.007317522586559664,2.79749397565273e-111,6.105565693202493e-63,0.015864028257687998,4.3197981740678456e-07,9.349765661633237e-37,NaN,0.013792440125679421,2.412018070871657e-35,5.605185108209376e-50,NaN,NaN,NaN,3.4736785510361197e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.48553477219703
8,0,1649268000,2022-04-06 07:56:41,2022-04-06 21:05:07,35.55,31.6,29.04,Snow,1.0,0.03385826771653543,0.21574803149606303,2022-04-06,4,6,2,0.1840061621700084,0.46448684749523644,0,104.06352683461117,1,GFK,47.94281,-97.18294,0.440583328249008,0.07344479566778067,-0.05603799923305699,-0.47733857701545135,-0.3418642692617925,NaN,-0.09685559574943392,-0.028264166945625547,0.043513444355518675,NaN,NaN,NaN,0.03410314095425273,0.18432564843409274,0.0037189846006436132,0.007584849483088656,0.3778834088063962,0.3871043916851631,NaN,0.08180942555050055,0.004719693972179841,0.0043757374645056685,NaN,NaN,NaN,0.015742242729418664,0.016837169442207436,8.24477906377527e-87,1.4888668671793513e-13,0.20652087358982796,0.37716496533090194,NaN,0.23644579379636932,2.1170802883844564e-09,2.671685050499563e-23,NaN,NaN,NaN,0.030284774599478863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1157.561259795383
9,1,1649354400,2022-04-07 07:54:41,2022-04-07 21:06:33,34.03,28.76,26.84,Snow,1.0,0.0,0.20433070866141734,2022-04-07,4,7,3,0.0,0.4520295440139033,0,104.06352683461117,1,GFK,47.94281,-97.18294,0.440583328249008,0.07344479566778067,-0.05603799923305699,-0.47733857701545135,-0.3418642692617925,NaN,-0.09685559574943392,-0.028264166945625547,0.043513444355518675,NaN,NaN,NaN,0.03410314095425273,0.18432564843409274,0.0037189846006436132,0.007584849483088656,0.3778834088063962,0.3871043916851631,NaN,0.08180942555050055,0.004719693972179841,0.0043757374645056685,NaN,NaN,NaN,0.015742242729418664,0.016837169442207436,8.24477906377527e-87,1.4888668671793513e-13,0.20652087358982796,0.37716496533090194,NaN,0.23644579379636932,2.1170802883844564e-09,2.671685050499563e-23,NaN,NaN,NaN,0.030284774599478863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1489.001136300159
