,processed_airports
0,ABE
1,ABI
2,ABQ
3,ABY
4,ACK
5,ACT
6,ACY
7,ADS
8,AEX
9,AFW
10,AGC
11,AGS
12,AHN
13,AKN
14,ALB
15,ALN
16,ALW
17,AMA
18,ANC
19,ANE
20,APA
21,APC
22,APF
23,ARB
24,ARR
25,ASE
26,ASG
27,ASH
28,ATL
29,ATW
30,AUS
31,AVL
32,AVP
33,AZO
34,BAF
35,BAK
36,BAZ
37,BBG
38,BCT
39,BDL
40,BDR
41,BED
42,BET
43,BFI
44,BFL
45,BFM
46,BGR
47,BHM
48,BIL
49,BIS
50,BJC
51,BKL
52,BKV
53,BLI
54,BMG
55,BMI
56,BNA
57,BOI
58,BOS
59,BPT
60,BRO
61,BTL
62,BTR
63,BTV
64,BUF
65,BUR
66,BVY
67,BWI
68,BZN
69,CAE
70,CAK
71,CCR
72,CDW
73,CGF
74,CHA
75,CHD
76,CHO
77,CHS
78,CID
79,CKB
80,CLE
81,CLL
82,CLT
83,CMA
84,CMH
85,CMI
86,CNO
87,COS
88,COU
89,CPR
90,CPS
91,CRE
92,CRG
93,CRP
94,CRQ
95,CRW
96,CSG
97,CVG
98,CWA
99,CWF
100,CXO
101,CXY
102,CYS
103,DAB
104,DAL
105,DAY
106,DBQ
107,DCA
108,DEC
109,DEN
110,DET
111,DFW
112,DHN
113,DLH
114,DPA
115,DSM
116,DTN
117,DTO
118,DTS
119,DTW
120,DVT
121,DWH
122,DXR
123,EAU
124,ECP
125,EGE
126,ELM
127,ELP
128,EMT
129,ENA
130,ENW
131,ERI
132,ESN
133,EUG
134,EVB
135,EVV
136,EWB
137,EWN
138,EWR
139,EYW
140,FAI
141,FAR
142,FAT
143,FAY
144,FCM
145,FDK
146,FFZ
147,FIN
148,FLG
149,FLL
150,FLO
151,FMN
152,FMY
153,FNT
154,FOE
155,FOK
156,FPR
157,FRG
158,FSD
159,FSM
160,FTG
161,FTW
162,FTY
163,FWA
164,FWS
165,FXE
166,FYV
167,GCK
168,GCN
169,GEG
170,GEU
171,GFK
172,GGG
173,GJT
174,GKY
175,GLS
176,GMU
177,GNV
178,GON
179,GPI
180,GPT
181,GRB
182,GRI
183,GRR
184,GSN
185,GSO
186,GSP
187,GTF
188,GTR
189,GTU
190,GUM
191,GYH
192,GYI
193,GYR
194,GYY
195,HEF
196,HFD
197,HGR
198,HHR
199,HIO
200,HKS
201,HKY
202,HLG
203,HLN
204,HND
205,HNL
206,HOB
207,HOU
208,HPN
209,HQZ
210,HRL
211,HSV
212,HTS
213,HUF
214,HUM
215,HUT
216,HVN
217,HWD
218,HWO
219,HXD
