OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BPT,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,6,16,0,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,23,
01-02-2017,0,5,19,0,24,0,0,0,0,0,0,0,9,0,9,0,2,1,0,3,0,0,0,33,36,
01-03-2017,0,4,20,0,24,0,0,1,0,1,0,0,14,0,14,0,1,15,0,16,4,0,4,42,59,
01-04-2017,0,6,19,1,26,0,0,0,0,0,0,1,10,1,12,0,1,14,1,16,0,0,0,38,54,
01-05-2017,0,5,6,0,11,0,3,0,0,3,0,0,4,0,4,0,0,7,0,7,0,0,0,15,25,
01-06-2017,0,4,12,0,16,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,2,0,2,20,21,
01-07-2017,0,6,5,0,11,0,0,0,0,0,0,1,20,0,21,0,0,6,0,6,0,0,0,32,38,
01-08-2017,0,5,7,0,12,0,0,0,0,0,0,0,11,0,11,0,1,3,0,4,0,0,0,23,27,
01-09-2017,0,4,9,2,15,0,0,1,0,1,0,0,8,0,8,0,0,9,0,9,22,0,22,45,55,
01-10-2017,0,9,14,1,24,0,0,1,0,1,0,0,9,8,17,0,0,12,2,14,10,0,10,51,66,
01-11-2017,0,6,21,0,27,0,0,0,0,0,0,0,9,3,12,0,1,11,0,12,10,0,10,49,61,
01-12-2017,0,4,21,1,26,0,0,0,0,0,0,0,14,0,14,0,0,16,2,18,50,0,50,90,108,
01/13/2017,0,6,18,4,28,0,0,1,0,1,0,0,7,2,9,0,0,2,1,3,0,0,0,37,41,
01/14/2017,0,2,6,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,10,10,
01/15/2017,0,2,13,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,18,18,
01/16/2017,0,3,13,0,16,0,0,1,0,1,0,0,9,0,9,0,0,9,0,9,0,0,0,25,35,
01/17/2017,0,6,22,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,28,30,
01/18/2017,0,4,18,0,22,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,28,28,
01/19/2017,0,4,9,1,14,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,15,16,
01/20/2017,0,4,19,0,23,0,0,0,0,0,0,0,13,2,15,0,0,14,0,14,10,0,10,48,62,
