OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BAZ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
02/21/2017,0,3,14,2,19,0,0,0,0,0,0,3,53,10,66,0,4,6,0,10,88,32,120,205,215,
02/22/2017,0,0,12,8,20,0,0,0,0,0,0,3,100,9,112,0,6,10,8,24,258,46,304,436,460,
02/23/2017,0,0,10,14,24,0,0,0,0,0,0,9,81,5,95,0,0,2,18,20,134,4,138,257,277,
02/24/2017,0,0,5,4,9,0,0,0,0,0,0,0,60,0,60,0,0,4,0,4,54,0,54,123,127,
02/25/2017,0,2,8,4,14,0,0,0,0,0,0,4,70,0,74,0,0,4,0,4,142,2,144,232,236,
02/26/2017,0,0,13,2,15,0,0,0,0,0,0,4,15,0,19,0,0,0,0,0,12,2,14,48,48,
02/27/2017,0,2,16,2,20,0,0,0,0,0,0,2,34,0,36,0,0,6,0,6,124,2,126,182,188,
02/28/2017,0,4,11,8,23,0,0,0,0,0,0,4,21,0,25,0,0,0,0,0,80,4,84,132,132,
03-01-2017,0,0,15,20,35,0,0,0,0,0,0,2,66,0,68,0,0,6,0,6,126,2,128,231,237,
03-02-2017,0,0,9,22,31,0,0,0,0,0,0,0,64,0,64,0,0,2,0,2,82,2,84,179,181,
03-03-2017,0,3,18,12,33,0,0,2,0,2,0,2,88,0,90,0,0,10,28,38,222,0,222,345,385,
03-04-2017,0,4,5,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,2,15,15,
03-05-2017,0,0,11,0,11,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,2,0,2,14,16,
03-06-2017,0,2,10,14,26,0,0,0,0,0,0,2,25,0,27,0,0,4,2,6,120,6,126,179,185,
03-07-2017,0,0,14,11,25,0,0,0,0,0,0,0,30,1,31,0,0,2,0,2,114,28,142,198,200,
03-08-2017,0,3,16,28,47,0,0,0,0,0,0,2,51,0,53,0,2,6,16,24,170,10,180,280,304,
03-09-2017,0,1,19,9,29,0,0,0,0,0,0,3,15,1,19,0,0,0,0,0,26,0,26,74,74,
03-10-2017,0,2,17,7,26,0,0,0,0,0,0,1,27,2,30,0,0,6,0,6,90,12,102,158,164,
03-11-2017,0,3,8,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,12,
