OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
02/17/2018,33,35,13,0,81,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,82,83
02/18/2018,44,34,17,0,95,0,1,8,0,9,0,0,4,0,4,0,0,4,0,4,0,0,0,99,112
02/19/2018,57,44,11,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112
02/20/2018,55,31,18,3,107,0,1,3,1,5,0,1,3,5,9,0,0,1,0,1,0,0,0,116,122
02/21/2018,57,38,27,10,132,0,1,8,0,9,0,2,2,0,4,0,1,3,0,4,0,0,0,136,149
02/22/2018,58,38,27,0,123,0,1,5,1,7,0,0,1,0,1,0,0,1,0,1,0,0,0,124,132
02/23/2018,59,34,27,0,120,0,1,3,1,5,0,0,9,0,9,0,0,8,0,8,0,0,0,129,142
02/24/2018,41,36,12,12,101,0,1,3,0,4,0,0,7,0,7,0,0,2,1,3,0,0,0,108,115
02/25/2018,53,40,19,0,112,0,2,0,0,2,0,0,3,0,3,0,0,1,2,3,0,0,0,115,120
02/26/2018,61,41,21,0,123,0,1,3,1,5,0,0,1,0,1,0,0,3,0,3,0,0,0,124,132
02/27/2018,57,46,15,0,118,0,0,0,0,0,0,1,9,5,15,0,0,6,2,8,2,0,2,135,143
02/28/2018,58,46,23,0,127,0,1,3,1,5,0,0,3,0,3,0,0,0,0,0,0,0,0,130,135
03/01/2018,57,64,17,0,138,0,1,2,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,139,143
03/02/2018,53,35,9,0,97,0,0,0,0,0,0,0,8,10,18,0,0,1,1,2,0,0,0,115,117
03/03/2018,40,32,8,0,80,0,0,1,0,1,0,1,21,3,25,0,1,4,2,7,0,0,0,105,113
03/04/2018,45,37,7,0,89,0,0,1,0,1,0,0,12,1,13,0,1,4,2,7,0,0,0,102,110
03/05/2018,55,46,17,18,136,0,1,3,0,4,0,3,5,3,11,0,1,3,2,6,8,0,8,155,165
03/06/2018,53,47,12,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112
03/07/2018,52,36,9,6,103,0,0,0,0,0,0,2,2,2,6,0,0,2,0,2,0,0,0,109,111
03/08/2018,52,49,15,3,119,0,4,7,0,11,0,2,11,0,13,0,3,4,1,8,18,0,18,150,169
03/09/2018,55,52,25,4,136,0,2,2,0,4,0,4,12,0,16,0,0,9,3,12,1,0,1,153,169
03/10/2018,37,33,18,4,92,0,0,3,0,3,0,0,9,0,9,0,0,3,0,3,0,0,0,101,107
03/11/2018,47,37,6,2,92,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,93,95
03/12/2018,56,42,15,17,130,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,133,133
03/13/2018,62,38,22,2,124,0,5,4,1,10,0,1,8,0,9,0,2,15,0,17,0,0,0,133,160
03/14/2018,61,41,7,8,117,0,0,4,0,4,0,0,3,2,5,0,1,2,3,6,0,0,0,122,132
03/15/2018,61,40,14,6,121,0,0,3,0,3,0,0,5,0,5,0,0,9,2,11,0,0,0,126,140
03/16/2018,67,50,9,13,139,0,1,7,0,8,0,1,9,4,14,0,0,11,0,11,0,0,0,153,172
03/17/2018,41,38,11,0,90,0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,0,0,0,92,95
03/18/2018,48,39,18,0,105,0,0,1,0,1,0,0,12,2,14,0,0,8,0,8,0,0,0,119,128
03/19/2018,57,39,16,0,112,0,1,4,0,5,0,3,1,0,4,0,0,1,0,1,0,0,0,116,122
03/20/2018,56,40,20,0,116,0,1,1,0,2,0,1,7,2,10,0,0,1,2,3,4,0,4,130,135
03/21/2018,58,28,16,0,102,0,3,16,0,19,0,1,1,0,2,0,1,2,2,5,0,0,0,104,128
03/22/2018,58,43,24,5,130,0,0,2,0,2,0,0,8,0,8,0,1,4,0,5,0,6,6,144,151
03/23/2018,57,38,15,16,126,0,1,1,0,2,0,4,20,9,33,0,0,6,0,6,0,0,0,159,167
03/24/2018,42,35,14,0,91,0,1,2,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,92,96
03/25/2018,50,38,14,0,102,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,104,104
03/26/2018,60,42,23,6,131,0,1,1,0,2,0,2,2,2,6,0,2,1,1,4,0,0,0,137,143
03/27/2018,61,42,22,9,134,0,0,4,0,4,0,0,6,7,13,0,0,2,0,2,0,0,0,147,153
03/28/2018,64,40,21,0,125,0,1,7,2,10,0,0,8,0,8,0,0,4,0,4,0,0,0,133,147
03/29/2018,63,46,20,9,138,1,1,4,0,6,0,2,7,7,16,0,0,1,0,1,0,0,0,154,161
03/30/2018,57,46,11,7,121,0,1,9,0,10,0,2,10,1,13,0,6,4,1,11,0,0,0,134,155
03/31/2018,34,37,6,1,78,0,0,0,0,0,0,0,8,3,11,0,0,11,0,11,0,0,0,89,100
04/01/2018,48,35,3,2,88,0,0,1,0,1,0,2,3,0,5,0,1,7,0,8,0,0,0,93,102
04/02/2018,56,43,25,3,127,0,2,2,3,7,0,2,7,3,12,0,0,5,0,5,0,12,12,151,163
04/03/2018,62,43,14,6,125,0,1,1,0,2,0,3,5,5,13,0,0,1,0,1,0,0,0,138,141
04/04/2018,67,39,25,3,134,0,1,0,1,2,0,0,2,2,4,0,1,2,0,3,0,0,0,138,143
04/05/2018,67,41,31,16,155,0,1,2,1,4,0,1,9,5,15,0,2,6,4,12,0,0,0,170,186
04/06/2018,67,34,27,15,143,0,0,1,0,1,0,1,10,6,17,0,0,7,2,9,0,0,0,160,170
04/07/2018,48,22,16,0,86,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86,89
04/08/2018,62,30,30,0,122,0,0,0,0,0,0,0,9,1,10,0,0,6,0,6,0,0,0,132,138
04/09/2018,68,32,25,7,132,0,0,1,0,1,0,0,0,17,17,0,0,0,0,0,0,0,0,149,150
04/10/2018,67,43,28,2,140,0,1,0,0,1,0,0,7,0,7,0,0,3,0,3,0,0,0,147,151
04/11/2018,66,42,24,0,132,0,0,0,0,0,0,1,11,0,12,0,0,2,0,2,0,0,0,144,146
04/12/2018,66,39,24,0,129,0,0,4,4,8,0,0,4,7,11,0,0,12,1,13,0,0,0,140,161
04/13/2018,66,40,36,23,165,0,0,2,2,4,0,1,12,10,23,0,0,6,0,6,14,6,20,208,218
04/14/2018,44,19,22,1,86,0,0,0,1,1,0,0,4,2,6,0,0,2,0,2,0,8,8,100,103
04/15/2018,54,34,7,3,98,1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,98,103
04/16/2018,66,42,22,4,134,0,1,8,1,10,0,0,7,1,8,0,2,3,0,5,0,0,0,142,157
04/17/2018,78,40,23,16,157,0,6,2,3,11,0,1,8,2,11,0,0,2,1,3,0,0,0,168,182
04/18/2018,64,38,22,12,136,0,1,4,0,5,0,1,11,0,12,0,0,5,0,5,0,0,0,148,158
04/19/2018,69,37,21,8,135,0,1,5,0,6,0,7,5,15,27,0,0,4,1,5,0,16,16,178,189
04/20/2018,68,40,12,0,120,0,0,1,0,1,0,0,19,4,23,0,0,3,0,3,22,0,22,165,169
04/21/2018,47,25,10,5,87,1,0,1,0,2,0,3,13,9,25,0,0,3,2,5,0,0,0,112,119
04/22/2018,60,40,16,9,125,0,0,2,0,2,0,0,1,3,4,0,0,1,5,6,0,0,0,129,137
04/23/2018,65,41,21,2,129,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,130
04/24/2018,72,41,26,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,139,140
04/25/2018,64,42,14,3,123,0,0,1,0,1,0,0,7,5,12,0,0,1,0,1,0,0,0,135,137
04/26/2018,68,45,26,2,141,0,3,3,0,6,0,0,1,3,4,0,0,2,0,2,0,0,0,145,153
04/27/2018,62,35,21,4,122,0,0,5,1,6,0,0,12,0,12,0,1,4,1,6,4,0,4,138,150
04/28/2018,49,26,4,0,79,0,3,4,0,7,0,0,7,0,7,0,0,7,0,7,0,0,0,86,100
04/29/2018,53,42,21,0,116,0,0,0,0,0,0,0,11,0,11,0,0,4,0,4,4,0,4,131,135
04/30/2018,65,43,29,10,147,0,0,1,0,1,0,0,10,7,17,0,0,5,0,5,0,11,11,175,181
05/01/2018,64,42,22,0,128,0,1,3,2,6,0,0,5,2,7,0,1,7,0,8,0,0,0,135,149
05/02/2018,62,37,27,9,135,1,0,4,0,5,0,2,12,7,21,0,0,7,2,9,0,14,14,170,184
05/03/2018,65,45,30,7,147,0,3,4,0,7,0,1,9,4,14,0,1,9,2,12,0,6,6,167,186
