OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SLC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
09/28/2021,678,158,85,8,929,0,0,0,0,0,0,6,18,4,28,0,2,7,2,11,0,0,0,957,968
09/29/2021,673,161,79,2,915,0,0,0,0,0,0,10,64,4,78,0,6,34,9,49,0,0,0,993,1042
09/30/2021,692,183,80,4,959,0,0,3,0,3,0,9,88,3,100,0,11,51,2,64,0,0,0,1059,1126
10/01/2021,694,146,73,2,915,0,0,2,0,2,0,9,130,2,141,0,24,53,2,79,0,0,0,1056,1137
10/02/2021,620,124,34,0,778,1,0,0,0,1,0,14,56,4,74,0,14,54,3,71,18,0,18,870,942
10/03/2021,651,113,56,1,821,0,0,0,0,0,0,11,51,3,65,0,11,20,1,32,0,0,0,886,918
10/04/2021,673,152,64,9,898,0,0,0,0,0,0,22,96,3,121,0,12,39,3,54,0,0,0,1019,1073
10/05/2021,662,155,74,4,895,0,0,0,0,0,0,20,62,0,82,0,15,19,1,35,0,0,0,977,1012
10/06/2021,668,156,58,6,888,0,0,1,0,1,0,12,39,0,51,0,17,20,5,42,0,0,0,939,982
10/07/2021,691,168,82,3,944,0,0,0,0,0,0,18,44,0,62,0,10,33,0,43,0,0,0,1006,1049
10/08/2021,687,169,81,5,942,0,1,0,0,1,0,17,16,2,35,0,7,10,1,18,0,0,0,977,996
10/09/2021,614,118,41,0,773,0,0,0,0,0,0,5,12,2,19,0,8,8,0,16,0,0,0,792,808
10/10/2021,631,112,67,2,812,0,0,0,0,0,0,1,67,2,70,0,4,55,4,63,0,0,0,882,945
10/11/2021,665,132,81,1,879,0,0,0,0,0,0,9,37,0,46,0,5,27,4,36,0,0,0,925,961
10/12/2021,678,188,83,0,949,0,0,1,0,1,0,3,7,0,10,0,5,5,2,12,0,0,0,959,972
10/13/2021,684,166,92,7,949,0,0,0,0,0,0,13,92,4,109,0,8,31,1,40,0,0,0,1058,1098
10/14/2021,688,158,92,0,938,0,1,0,0,1,0,13,20,29,62,0,9,21,2,32,0,0,0,1000,1033
10/15/2021,689,162,74,4,929,0,0,2,0,2,0,14,103,1,118,0,7,35,3,45,0,0,0,1047,1094
10/16/2021,622,108,54,6,790,0,0,0,0,0,0,11,68,3,82,0,12,30,0,42,0,0,0,872,914
10/17/2021,660,103,82,2,847,0,0,0,0,0,0,12,44,2,58,0,10,27,2,39,0,0,0,905,944
10/18/2021,673,148,61,0,882,0,0,0,0,0,0,3,45,11,59,0,9,18,1,28,0,0,0,941,969
10/19/2021,673,168,83,4,928,0,0,0,0,0,0,13,25,0,38,0,6,12,0,18,0,0,0,966,984
10/20/2021,673,166,93,8,940,0,0,1,0,1,0,16,110,7,133,0,18,48,0,66,0,0,0,1073,1140
10/21/2021,585,128,80,2,795,0,0,0,0,0,0,14,118,1,133,0,16,51,0,67,0,0,0,928,995
10/22/2021,650,145,97,6,898,1,0,0,0,1,0,9,100,5,114,0,13,53,1,67,0,0,0,1012,1080
10/23/2021,606,105,57,1,769,0,0,0,0,0,0,6,4,4,14,0,6,5,1,12,0,0,0,783,795
10/24/2021,658,129,87,1,875,0,0,1,0,1,0,12,26,1,39,0,8,11,1,20,0,0,0,914,935
10/25/2021,679,149,72,1,901,0,0,0,0,0,0,12,9,2,23,0,5,1,0,6,0,0,0,924,930
10/26/2021,679,139,72,7,897,0,0,0,0,0,0,10,15,4,29,0,5,11,1,17,0,0,0,926,943
10/27/2021,678,155,73,4,910,0,0,1,0,1,0,4,106,16,126,0,10,56,8,74,0,0,0,1036,1111
10/28/2021,687,161,54,6,908,0,0,1,0,1,0,5,104,5,114,0,11,68,6,85,0,0,0,1022,1108
10/29/2021,689,141,71,5,906,0,0,0,0,0,0,9,105,4,118,0,21,60,1,82,0,0,0,1024,1106
10/30/2021,610,98,52,0,760,0,0,0,0,0,0,10,79,3,92,0,19,48,0,67,2,0,2,854,921
10/31/2021,508,120,38,0,666,0,0,1,0,1,0,14,36,1,51,0,18,21,0,39,0,0,0,717,757
11/01/2021,630,142,67,11,850,0,0,1,0,1,0,12,91,6,109,0,13,41,2,56,0,0,0,959,1016
11/02/2021,638,135,59,10,842,0,0,1,0,1,0,2,29,5,36,0,6,28,1,35,0,0,0,878,914
11/03/2021,632,153,72,12,869,0,0,0,0,0,0,4,115,2,121,0,9,70,6,85,0,0,0,990,1075
11/04/2021,654,150,70,5,879,0,1,1,0,2,0,4,118,2,124,0,3,76,5,84,0,0,0,1003,1089
11/05/2021,635,154,78,9,876,0,0,0,0,0,0,6,115,1,122,0,14,74,3,91,0,0,0,998,1089
11/06/2021,594,104,41,3,742,1,0,1,0,2,0,20,74,2,96,0,7,45,4,56,0,0,0,838,896
11/07/2021,601,106,68,3,778,0,0,0,0,0,0,3,47,2,52,0,3,26,0,29,0,0,0,830,859
11/08/2021,613,134,62,10,819,0,0,0,0,0,0,9,71,1,81,0,15,44,6,65,0,0,0,900,965
11/09/2021,610,163,81,6,860,0,0,2,0,2,0,21,14,4,39,0,8,12,3,23,0,0,0,899,924
